id;name;Addresse;URL ressource services;Type uers;Total Parking spots;PRM spots;Electric Spots;Bicycle spots;max height;cordx;cordy;Tarif_1h;Tarif_2h;Tarif_3h;Tarif_4h;Tarif_24h;District;Phone;Public Opening Hours;Elevator;MonthlySubCar;AnnualSubCar;MonthlySubPRM;AnnualSubPRM;MothlySubElectric;AnnualSubElectric;MonthlySubMoto;AnnualSubMoto;MonthlySubBcl;Tarif_15mn Moto;Tarif_30mn Moto;Tarif_24h Moto
75105-P-077;LAGRANGE MAUBERT;19 ter rue lagrange, 75005, Paris;https://www.saemes.fr/fr/parking/parking-lagrange-maubert;tous;368;8;14;10;185;234.863.908;488.505.418;4.5;9.0;13.5;18.0;40.5;5;143258447;24h / 24;OUI;269.0;2690.0;134.5;1345.0;134.5;1345.0;94.1;941.0;12.0;0.4;0.8;13.95
75117-P-114;PORTE D ASNIERES;2 avenue de la porte d asnieres, 75017, Paris;https://fr.parkindigo.com/parking/paris-75017/porte-dasnieres-75170600;abonnés;302;0;0;0;190;230.375.258;4.889.037.285;;;;;;17;141720271;POUR ABONNES;OUI;;;;;;;96.0;998.0;;;;
75116-P-074;GROS BOULAINVILLIERS;15 ter rue de boulainvilliers, 75016, Paris;https://www.saemes.fr/fr/parking/parking-gros-boulainvilliers;abonnés;339;0;0;0;195;227.603.512;4.885.251.507;;;;;;16;144829999;POUR ABONNES;NON;216.0;2160.0;0.0;0.0;108.0;1080.0;75.6;756.0;10.0;;;
75106-P-003;ODEON;8 ter rue de l ecole de medecine, 75006, Paris;https://fr.parkindigo.com/parking/paris-75006/odeon-75061600;tous;269;6;10;15;190;234.112.092;4.885.096.233;4.6;9.2;13.8;18.4;41.4;6;?;24h / 24;OUI;320.0;3200.0;0.0;0.0;160.0;1600.0;96.0;960.0;10.0;0.4;0.8;14.4
75114-P-111;DIDOT;2 ter rue didot, 75014, Paris;https://www.saemes.fr/fr/parking/parking-didot;abonnés;272;4;0;0;190;232.161.328;4.883.399.678;;;;;;14;144829999;POUR ABONNES;OUI;;;;;;;72.0;720.0;;;;
75108-P-030;MADELEINE TRONCHET;21 m place de la madeleine, 75008, Paris;https://www.saemes.fr/fr/parking/parking-madeleine-tronchet;tous;949;20;465;52;190;232.442.949;4.887.086.907;4.6;9.2;13.8;18.4;41.4;8;144826800;24h / 24;OUI;293.0;2930.0;146.0;1460.0;205.1;2051.0;102.0;1020.0;12.0;0.4;0.8;14.4
75107-P-134;LA TOUR MAUBOURG ORSAY;45 ter quai d orsay, 75007, Paris;https://www.q-park-resa.fr/fr/parking/paris/tour-maubourg-33.html;tous;434;9;3;0;190;23.097.455;4.886.236.723;5.8;11.6;17.4;23.2;47.85;7;144180405;24h / 24;OUI;368.0;3545.0;;;145.0;1740.0;168.0;1312.0;;;;
75101-P-006;VENDOME;26 ter place vendome, 75001, Paris;https://fr.parkindigo.com/parking/paris-75001/vendome-75010800;tous;1111;30;4;0;190;233.000.068;4.886.783.544;5.4;10.8;16.2;21.6;48.6;1;142605000;24h / 24;OUI (ÉLÉVATEUR);324.0;3369.0;;;162.0;1684.0;113.0;1179.0;10.0;0.5;0.95;16.65
75108-P-109;ETOILE FRIEDLAND;14 ter avenue de friedland, 75008, Paris;https://fr.parkindigo.com/parking/paris-75008/etoile-friedland-75080800;tous;576;6;8;6;190;230.123.059;4.887.452.022;5.4;10.8;16.2;21.6;48.6;8;142896964;24h / 24;OUI;309.0;3213.0;;;154.0;1606.0;141.0;1466.0;;;;
75117-P-112;MAC MAHON;17 ter avenue mac mahon, 75017, Paris;https://fr.parkindigo.com/parking/paris-75017/mac-mahon-75171100;tous;418;0;0;0;190;229.440.942;4.887.655.243;5.0;10.0;15.0;20.0;45.0;17;141720271;24h / 24;OUI;274.0;2849.0;137.0;1424.0;137.0;1424.0;95.0;997.0;10.0;0.45;0.9;15.75
75115-P-034;CITROEN CEVENNES;45 bis rue leblanc, 75015, Paris;https://fr.parkindigo.com/parking/paris-75015/citroen-cevennes-75150300;tous;569;12;6;6;190;2.276.337;4.883.875.291;4.2;8.4;12.6;16.8;37.8;15;145484330;24h / 24;OUI;222.0;2308.0;111.0;1154.0;111.0;1154.0;77.0;807.0;10.0;0.4;0.75;13.05
75117-P-011;CARNOT;14 ter avenue carnot, 75017, Paris;https://www.saemes.fr/fr/parking/parking-carnot;tous;398;0;0;0;190;229.327.733;4.887.597.062;4.4;8.8;13.2;17.6;39.6;17;144829999;24h / 24;OUI;250.0;2500.0;0.0;0.0;125.0;1250.0;87.0;875.0;10.0;0.4;0.75;13.05
75101-P-008;LES HALLES ST EUSTACHE;22 rue des halles, 75001, Paris;https://www.saemes.fr/fr/parking/parking-les-halles-st-eustache;tous;360;5;2;41;185;234.596.398;4.886.068.216;4.5;9.0;13.5;18.0;40.5;1;142365737;24h / 24;OUI;275.0;2750.0;137.5;1375.0;137.5;1375.0;96.3;963.0;18.0;0.4;0.8;13.95
75116-P-059;VICTOR HUGO POMPE;122 avenue victor hugo, 75016, Paris;https://fr.parkindigo.com/parking/paris-75016/victor-hugo-pompe-75160100;tous;485;0;0;0;190;228.073.239;4.886.778.257;5.0;10.0;15.0;20.0;45.0;16;141720260;24h / 24;PREVU;348.0;3619.0;174.0;1809.0;174.0;1809.0;121.0;1266.0;10.0;0.45;0.9;15.75
75110-P-130;FRANZ LISZT;32 ter rue des petits hotels, 75010, Paris;https://fr.parkindigo.com/parking/paris-75010/franz-liszt-75100300;tous;287;5;0;4;190;235.265.508;4.887.756.471;5.0;10.0;15.0;20.0;45.0;10;141720265;24h / 24;OUI;259.0;2693.0;;;;;90.0;942.0;;;;
75112-P-100;VAN GOGH;203 ter rue de bercy, 75012, Paris;https://www.saemes.fr/fr/parking/parking-van-gogh;abonnés;183;0;0;0;260;237.185.347;4.884.467.523;;;;;;12;144829999;POUR ABONNES;OUI;;;;;;;;;;;;
75116-P-022;PORTE D AUTEUIL;6 ter avenue du general sarrail, 75016, Paris;https://www.saemes.fr/fr/parking/parking-porte-dauteuil;tous;1117;28;237;50;185;225.617.101;488.465.712;4.3;8.6;12.9;17.2;38.7;16;146519018;24h / 24;OUI;159.0;1590.0;79.5;795.0;119.3;1193.0;55.7;557.0;11.3;0.4;0.8;13.5
75112-P-101;MEDITERRANEE;40 rue de chalon, 75012, Paris;https://www.saemes.fr/fr/parking/parking-mediterranee-gare-de-lyon;tous;1450;15;4;25;190;237.574.679;4.884.497.657;5.1;10.2;15.3;20.4;40.8;12;143074858;24h / 24;OUI;310.0;3100.0;155.0;1550.0;155.0;1550.0;108.5;1085.0;10.0;0.45;0.9;14.0
75110-P-028;MAGENTA GARE DE L EST;8 ter square alban satragne, 75010, Paris;https://fr.parkindigo.com/parking/paris-75010/alban-satragne-magenta-75100900;tous;683;16;335;40;190;235.529.967;488.756.675;4.6;9.2;13.8;18.4;41.4;10;147702536;24h / 24;OUI;263.0;2735.0;131.0;1367.0;131.0;1367.0;92.0;957.0;10.0;0.4;0.8;14.4
94080-P-156;MARIGNY CHATEAU;10 cours marigny, 94300, Paris;https://fr.parkindigo.com/parking/vincennes-94300/marigny-chateau-94120700;tous;592;13;4;15;190;243.953.727;4.884.535.357;1.65;3.3;4.95;6.6;14.85;94;143749643;24h / 24;OUI;105.0;1050.0;52.5;525.0;52.5;525.0;35.0;350.0;10.0;0.1;0.25;4.95
75111-P-080;ROQUETTE;16 bis rue servan, 75011, Paris;https://www.saemes.fr/fr/parking/parking-roquette;abonnés;278;0;0;0;190;238.370.585;4.885.986.034;;;;;;11;144829999;POUR ABONNES;NON;;;54.0;;;;48.0;480.0;;;;
75118-P-078;MARCADET;142 a rue marcadet, 75018, Paris;https://www.saemes.fr/fr/parking/parking-marcadet;abonnés;135;0;0;0;200;233.901.161;4.889.130.624;;;;;;18;144829999;POUR ABONNES;NON;;;;1030.0;;;83.0;830.0;;;;
75113-P-153;UNIVERSITE DIDEROT (RIVE GAUCHE);29 quater rue thomas mann, 75013, Paris;https://fr.parkindigo.com/parking/paris-75013/universite-diderot-75131200;tous;498;12;4;16;190;237.890.733;4.882.943.342;3.6;7.2;10.8;14.4;32.4;13;144066050;24h / 24;OUI;193.0;2007.0;96.0;1003.0;96.0;1003.0;67.0;702.0;10.0;0.35;0.65;11.25
75116-P-122;DELESSERT;11 rue beethoven, 75016, Paris;https://www.saemes.fr/fr/parking/parking-delessert;abonnés;254;0;0;0;195;228.700.102;488.586.523;;;;;;16;144829999;POUR ABONNES;NON;;;;;;;;;;;;
75101-P-052;PYRAMIDES;14 ter rue des pyramides, 75001, Paris;https://www.saemes.fr/fr/parking/parking-louvre-pyramides;tous;578;12;8;18;190;233.318.657;4.886.512.039;4.6;9.2;13.8;18.4;41.4;1;147030288;24h / 24;OUI;290.0;2900.0;145.0;1450.0;145.0;1450.0;101.5;1015.0;12.0;0.4;0.8;14.4
75116-P-016;PASSY;82 ter rue de passy, 75016, Paris;https://fr.parkindigo.com/parking/paris-75016/passy-75161100;tous;351;8;3;20;190;22.753.247;4.885.819.322;4.8;9.6;14.4;19.2;43.2;16;141720260;24h / 24;OUI;400.0;4160.0;200.0;2080.0;200.0;2080.0;140.0;1456.0;10.0;0.45;0.85;14.85
75112-P-164;VELOSTATION VAN GOGH;4 m rue van gogh, 75012, Paris;https://www.saemes.fr/fr/parking/velostation-van-gogh;abonnés;0;0;0;198;230;237.125.675;4.884.369.509;;;;;;12;144829999;POUR ABONNES;ACCESSIBLE DE PLAIN PIED;;;;;;;;;10.0;;;
75116-P-140;MARCEAU ETOILE;75 ter avenue marceau, 75016, Paris;https://www.q-park.fr/fr-fr/villes/paris/marceau-champs-elysées/;tous;503;10;2;0;190;229.688.532;4.887.147.207;6.3;12.6;18.9;25.2;50.4;16;140701010;24h / 24;OUI;368.0;3545.0;;;145.0;1740.0;168.0;1312.0;;;;
75106-P-135;SAINT PLACIDE;33 ter rue saint placide, 75006, Paris;https://www.q-park.fr/fr-fr/villes/paris/saint-placide-sèvres-rue-de-rennes/;abonnés;207;5;0;0;190;232.569.223;4.884.861.163;;;;;;6;140701010;POUR ABONNES;OUI;;;;;;;195.0;2340.0;;;;
75105-P-085;POLIVEAU;39 bis rue poliveau, 75005, Paris;https://www.saemes.fr/fr/parking/parking-poliveau;abonnés;57;0;0;0;190;235.755.955;4.883.985.185;;;;;;5;144829999;POUR ABONNES;NON;;;;;;;;;;;;
75118-P-038;PORTE DE CLIGNANCOURT;20 ter avenue de la porte de clignancourt, 75018, Paris;https://www.sags.fr/parking-paris/paris-porte-de-clignancourt.html;tous;508;11;4;20;190;234.452.756;4.889.960.751;3.8;7.6;11.4;15.2;34.2;18;142640382;24h / 24;OUI;136.0;1360.0;0.0;0.0;95.5;955.0;47.6;476.0;10.0;0.3;0.65;11.7
75115-P-165;VELOSTATION GARE MONTPARNASSE;22 m rue de l arrivee, 75015, Paris;https://fr.parkindigo.com/parking/paris-75015/velostation-gare-montparnasse-75150800;abonnés;0;0;0;340;230;232.100.915;4.884.267.019;;;;;;15;145484330;POUR ABONNES;ACCESSIBLE DE PLAIN PIED;;;;;;;;;10.0;;;
75104-P-007;HOTEL DE VILLE;6 ter quai de gesvres, 75004, Paris;https://www.saemes.fr/fr/parking/parking-hotel-de-ville;tous;455;10;27;17;180;2.349.561;4.885.658.712;4.4;8.8;13.2;17.6;39.6;4;142715196;24h / 24;OUI;280.0;2800.0;140.0;1400.0;140.0;1400.0;98.0;980.0;18.0;0.4;0.8;13.5
75117-P-123;WAGRAM COURCELLES;103 ter rue jouffroy d abbans, 75017, Paris;https://fr.parkindigo.com/parking/paris-75017/wagram-courcelles-75170700;tous;564;5;0;0;190;230.128.819;4.888.189.715;5.2;10.4;15.6;20.8;46.8;17;141720271;24h / 24;OUI;338.0;3515.0;;;;;122.0;1268.0;;;;
75117-P-036;TERNES;4 ter avenue des ternes, 75017, Paris;https://fr.parkindigo.com/parking/paris-75017/ternes-75172100;tous;1086;23;3;0;185;229.685.646;4.887.815.862;4.6;9.2;13.8;18.4;41.4;17;141720271;24h / 24;OUI;259.0;2693.0;129.0;1346.0;129.0;1346.0;90.0;942.0;10.0;0.4;0.8;14.4
75105-P-009;POLYTECHNIQUE;13 ter rue jacques henri lartigue, 75005, Paris;https://www.saemes.fr/fr/parking/parking-polytechnique;abonnés;246;0;0;0;190;235.100.115;4.884.701.415;;;;;;5;144829999;POUR ABONNES;NON;;;;;;;96.0;1013.0;;;;
75101-P-147;SEBASTOPOL;37 ter boulevard sebastopol, 75001, Paris;https://fr.parkindigo.com/parking/paris-75001/sebastopol-75010500;tous;488;12;2;0;190;234.947.353;4.886.098.926;5.0;10.0;15.0;20.0;45.0;1;141720265;24h / 24;OUI;259.0;2693.0;;;129.0;1346.0;90.0;942.0;;;;
75112-P-062;BERCY RELAIS MERCURE;69 ter rue de bercy, 75012, Paris;https://all.accor.com/hotel/0941/index.fr.shtml;tous;157;4;0;0;190;238.153.136;4.883.817.784;3.6;7.2;10.8;14.4;30.0;12;153465050;24h / 24;NON;155.0;1860.0;;;;;;;;;;
75101-P-046;LOUVRE SAMARITAINE;7 place du louvre, 75001, Paris;https://fr.parkindigo.com/parking/paris-75001/louvre-samaritaine-75011200;tous;569;13;6;60;190;234.052.914;4.885.948.368;5.0;10.0;15.0;20.0;45.0;1;141720261;24h / 24;OUI;299.0;3109.0;149.0;1554.0;149.0;1554.0;104.0;1088.0;10.0;0.45;0.9;15.75
75119-P-102;MAIRIE DU 19EME;5 m rue andre dubois, 75019, Paris;https://www.saemes.fr/fr/parking/parking-mairie-du-19eme;abonnés;237;1;0;0;190;238.175.476;48.883.421;;;;;;19;144829999;POUR ABONNES;NON;;;;;;;72.0;720.0;;;;
75106-P-081;ANDRE HONNORAT;8 bis rue auguste comte, 75006, Paris;https://fr.parkindigo.com/parking/paris-75006/andre-honnorat-75061700;abonnés;326;0;0;0;190;233.797.566;4.884.422.067;;;;;;6;?;POUR ABONNES;NON;220.0;2200.0;;;;;150.0;1500.0;;;;
75104-P-116;RIVOLI SEBASTOPOL;5 ter rue pernelle, 75004, Paris;https://www.saemes.fr/fr/parking/parking-rivoli-sebastopol;tous;245;3;1;0;185;234.944.833;4.885.856.491;4.8;9.6;14.4;19.2;43.2;4;142722993;24h / 24;NON;264.0;2640.0;;;132.0;1320.0;106.0;1056.0;;0.45;0.85;14.85
75108-P-159;ROND POINT (GARAGE);2 m rond point des champs elysees marcel dassault, 75008, Paris;https://fr.parkindigo.com/acheteruneplace/parking/paris-75008/rond-point-des-champs-elysees-75080400;abonnés;330;0;0;0;190;231.104.798;4.886.932.421;;;;;;8;144829999;POUR ABONNES;OUI;293.0;2930.0;0.0;0.0;146.0;1460.0;102.0;1020.0;10.0;;;
75112-P-047;REUILLY DIDEROT;30 ter rue de reuilly, 75012, Paris;https://www.saemes.fr/fr/parking/parking-reuilly-diderot;tous;135;3;2;15;350;238.725.815;4.884.654.591;4.3;8.6;12.9;17.2;38.7;12;143458121;24h / 24;OUI;196.0;1970.0;;;98.0;985.0;76.0;788.0;18.0;0.4;0.8;13.5
75112-P-115;HECTOR MALOT;61 quater avenue daumesnil, 75012, Paris;https://www.saemes.fr/fr/parking/parking-hector-malot;abonnés;442;6;0;7;200;237.633.192;4.884.690.131;;;;;;12;144829999;POUR ABONNES;OUI;;;86.0;860.0;;;77.0;770.0;18.0;;;
75104-P-124;BAUDOYER;25 ter rue de rivoli, 75004, Paris;http://realpark.fr/parking/baudoyer.html;tous;317;6;0;6;195;235.539.936;4.885.647.646;4.8;9.5;14.6;18.8;39.6;4;144171819;24h / 24;OUI;249.0;2500.0;;;;;100.0;;1.083.333.333;;;
75107-P-060;INVALIDES;24 rue de constantine, 75007, Paris;https://fr.parkindigo.com/parking/paris-75007/invalides-75070100;tous;1006;3;0;5;190;231.465.998;4.885.928.758;5.0;10.0;15.0;20.0;45.0;7;147053647;24h / 24;PREVU;278.0;2891.0;139.0;1445.0;139.0;1445.0;97.0;1011.0;10.0;0.45;0.9;15.75
75117-P-035;PORTE DE CHAMPERRET;6 ter avenue de la porte de champerret, 75017, Paris;https://fr.parkindigo.com/parking/paris-75017/porte-de-champerret-75171600;tous;1473;31;6;5;190;228.784.794;4.888.630.953;4.6;9.2;13.8;18.4;41.4;17;141720271;24h / 24;OUI;164.0;1705.0;;;114.0;1193.0;81.0;842.0;10.0;0.4;0.8;14.4
75109-P-023;ANVERS;41 bis boulevard de rochechouart, 75009, Paris;https://www.sags.fr/parking-paris/paris-anvers.html;tous;506;11;4;15;190;234.401.878;488.826.603;4.4;8.8;13.2;17.6;39.6;9;142810511;24h / 24;OUI;250.0;2500.0;0.0;0.0;175.0;1750.0;87.5;875.0;10.0;0.4;0.75;12.65
75117-P-064;PORTE MAILLOT;16 place de la porte maillot, 75017, Paris;https://fr.parkindigo.com/parking/paris-75017/porte-maillot-75172200;tous;944;38;3;0;190;228.226.367;4.887.873.861;4.6;9.2;13.8;18.4;41.4;17;141720260;24h / 24;OUI, MAIS TRAVAUX D'ACCESSIBILITE AUX HANDICAPES A;201.0;2090.0;100.0;1045.0;100.0;1045.0;70.0;731.0;10.0;0.4;0.8;14.4
75112-P-029;BASTILLE;29 boulevard de la bastille, 75012, Paris;https://fr.parkindigo.com/parking/paris-75012/bastille-75121100;tous;447;5;50;78;190;236.818.245;4.884.948.604;4.4;8.8;13.2;17.6;39.6;12;143467415;24h / 24;OUI;203.0;2030.0;101.0;1010.0;101.0;1010.0;71.0;710.0;10.0;0.4;0.8;13.5
75113-P-163;WATT (RIVE GAUCHE);50 rue watt, 75013, Paris;https://fr.parkindigo.com/parking/paris-75013/zac-rive-gauche-watt-75131300;abonnés;604;17;0;10;190;237.867.831;4.882.650.967;;;;;;13;144066050;POUR ABONNES;OUI;95.0;988.0;47.0;494.0;47.0;494.0;33.0;345.0;10.0;;;
75105-P-133;CASERNE MONGE;17 ter rue gracieuse, 75005, Paris;https://www.saemes.fr/fr/parking/parking-monge;abonnés;359;5;0;0;190;235.141.587;4.884.253.826;;;;;;5;144829999;POUR ABONNES;NON;212.0;2160.0;106.0;;;;106.0;1080.0;;;;
75118-P-073;DAMREMONT;73 ter rue damremont, 75018, Paris;https://www.sags.fr/parking-paris/paris-damremont.html;abonnés;139;0;0;0;220;233.575.449;488.928.896;;;;;;18;?;POUR ABONNES;NON;220.0;2200.0;0.0;0.0;143.0;1430.0;77.0;770.0;10.0;;;
75116-P-013;EYLAU;6 avenue d eylau, 75016, Paris;https://fr.parkindigo.com;abonnés;174;0;0;0;190;228.614.446;488.637.666;;;;;;16;141720260;POUR ABONNES;NON;;;;;;;;;;;;
75106-P-139;SAINT MICHEL;5 place saint andre des arts, 75006, Paris;https://fr.parkindigo.com/parking/paris-75005/place-saint-michel-75050200;tous;428;9;3;4;190;234.332.133;4.885.292.358;5.2;10.4;15.6;20.8;46.8;6;156244432;24h / 24;OUI;366.0;3806.0;183.0;1903.0;183.0;1903.0;128.0;1332.0;10.0;0.45;0.9;16.2
75108-P-015;HOCHE;14 quater avenue hoche, 75008, Paris;https://fr.parkindigo.com/parking/paris-75008/hoche-75080500;tous;954;10;0;0;190;230.215.928;4.887.684.389;5.2;10.4;15.6;20.8;46.8;8;141720271;24h / 24;OUI;322.0;3348.0;;;;;177.0;1841.0;;;;
75112-P-103;FAUBOURG SAINT ANTOINE;83 ter avenue ledru rollin, 75012, Paris;https://fr.parkindigo.com/parking/paris-75012/faubourg-saint-antoine-75120200;tous;371;6;4;0;190;237.556.129;4.885.084.205;5.0;10.0;15.0;20.0;45.0;12;144755243;24h / 24;OUI;257.0;2672.0;;;;;140.0;1456.0;;;;
75107-P-058;JOFFRE;2 ter place joffre, 75007, Paris;https://fr.parkindigo.com/parking/paris-75007/joffre-ecole-militaire-75070200;tous;938;1;0;6;190;230.520.683;4.885.422.717;5.0;10.0;15.0;20.0;45.0;7;145484330;24h / 24;ACCESSIBLE DE PLAIN PIED;211.0;2194.0;105.0;1097.0;105.0;1097.0;;;10.0;0.45;0.9;15.75
75115-P-021;MAIRIE DU 15 EME LECOURBE;147 rue lecourbe, 75015, Paris;https://www.saemes.fr/fr/parking/parking-mairie-du-15eme-lecourbe;tous;275;6;4;17;190;229.956.743;4.884.162.434;4.3;8.6;12.9;17.2;38.7;15;148285708;24h / 24;OUI;240.0;2400.0;120.0;1200.0;120.0;1200.0;84.0;840.0;12.0;0.4;0.8;13.5
75108-P-024;CONCORDE;14 place de la concorde, 75008, Paris;https://fr.parkindigo.com/parking/paris-75008/place-de-la-concorde-75082100;tous;836;13;0;0;190;232.000.365;4.886.617.169;5.0;10.0;15.0;20.0;45.0;8;143128070;24h / 24;PREVU;249.0;2589.0;124.0;1294.0;124.0;1294.0;87.0;906.0;10.0;0.45;0.9;15.75
75117-P-108;JOUFFROY;6 ter rue jouffroy d abbans, 75017, Paris;https://fr.parkindigo.com/parking/paris-75017/jouffroy-75170500;abonnés;209;0;0;0;190;231.320.136;4.888.716.223;;;;;;17;141720271;POUR ABONNES;NON;;;;;;;;;;;;
