id;name;Addresse;URL ressource services;Type uers;Total Parking spots;PRM spots;Electric Spots;Bicycle spots;max height;cordx;cordy;Tarif_1h;Tarif_2h;Tarif_3h;Tarif_4h;Tarif_24h;District;Phone;Public Opening Hours;Elevator;MonthlySubCar;AnnualSubCar;MonthlySubPRM;AnnualSubPRM;MothlySubElectric;AnnualSubElectric;MonthlySubMoto;AnnualSubMoto;MonthlySubBcl;Tarif_15mn Moto;Tarif_30mn Moto;Tarif_24h Moto
75113-P-151;BIBLIOTHEQUE F. MITTERRAND (RIVE GAUCHE);16 rue emile durkheim, 75013, Paris;https://fr.parkindigo.com/parking/paris-75013/bibliotheque-francois-mitterrand-75131100;tous;1018;21;3;20;190;237.732.985;4.883.224.971;4.2;8.4;12.6;16.8;37.8;13;144066050;24h / 24;OUI;248.0;2579.0;124.0;1289.0;124.0;1289.0;86.0;902.0;10.0;0.4;0.75;13.05
75106-P-161;SAINT SULPICE (GARAGE);8 m place saint sulpice, 75006, Paris;https://fr.parkindigo.com/parking/paris-75006/saint-sulpice-75060200;abonnés;196;0;42;15;190;233.355.468;488.511.911;;;;;;6;143254557;POUR ABONNES;OUI;379.0;3941.0;189.0;1970.0;189.0;1970.0;132.0;1379.0;10.0;;;
75108-P-110;ALMA GEORGE V;6 ter avenue george v, 75008, Paris;https://fr.parkindigo.com/parking/paris-75008/alma-george-v-75080700;tous;502;6;8;0;190;230.157.196;4.886.532.864;5.4;10.8;16.2;21.6;48.6;8;142250483;24h / 24;OUI;334.0;3473.0;;;167.0;1736.0;116.0;1215.0;;;;
75108-P-014;SAINT AUGUSTIN;18 rue de laborde, 75008, Paris;https://www.saemes.fr/fr/parking/parking-bergson;tous;901;1;1;20;190;232.032.135;4.887.574.961;4.6;9.2;13.8;18.4;41.4;8;144826800;24h / 24;PREVU;293.0;2930.0;146.0;1460.0;205.1;2051.0;102.0;1020.0;12.0;0.4;0.8;14.4
75105-P-084;MAUBERT COLLEGE DES BERNARDINS;39 ter boulevard saint germain, 75005, Paris;https://www.saemes.fr/fr/parking/parking-maubert-college-des-bernardins;tous;607;12;2;12;185;235.091.141;4.884.949.201;4.5;9.0;13.5;18.0;40.5;5;143269701;24h / 24;OUI;235.0;2350.0;117.5;1175.0;117.5;1175.0;82.2;822.5;18.0;0.4;0.8;13.95
75108-P-054;FRANCOIS 1ER;17 quater rue francois 1er, 75008, Paris;https://www.interparking-france.com/fr-FR/find-parking/ParcFrancois1er/;tous;550;13;7;15;190;230.564.778;4.886.736.859;4.3;8.6;12.9;17.2;38.7;8;147234145;24h / 24;OUI;300.0;3000.0;150.0;1500.0;150.0;1500.0;105.0;1050.0;10.0;0.4;0.8;13.5
75108-P-031;HAUSSMANN BERRI;163 ter boulevard haussmann, 75008, Paris;https://www.saemes.fr/fr/parking/parking-haussmann-berri;tous;1704;20;50;60;190;230.862.835;4.887.491.094;4.4;8.8;13.2;17.6;39.6;8;145639462;24h / 24;NON;257.0;2570.0;128.0;1280.0;128.0;1280.0;89.0;899.5;12.0;0.4;0.8;13.5
75106-P-057;SAINT SULPICE;8 m place saint sulpice, 75006, Paris;https://fr.parkindigo.com/parking/paris-75006/saint-sulpice-75060200;tous;369;10;6;0;190;233.355.769;4.885.118.161;5.4;10.8;16.2;21.6;48.6;6;143254557;24h / 24;OUI;362.0;3764.0;;;;;137.0;1425.0;;;;
75104-P-010;LUTECE;1 ter boulevard du palais, 75004, Paris;https://fr.parkindigo.com/parking/paris-75004/lutece-75040700;tous;326;0;0;0;190;234.612.474;4.885.543.438;4.0;8.0;12.0;16.0;36.0;4;140469561;24h / 24;PREVU;273.0;2839.0;136.0;1419.0;136.0;1419.0;95.0;993.0;10.0;0.35;0.7;12.6
75101-P-104;CROIX DES PETITS CHAMPS;14 rue croix des petits champs, 75001, Paris;https://fr.parkindigo.com/parking/paris-75001/croix-des-petits-champs-75010400;tous;428;7;0;0;190;233.961.047;4.886.307.153;5.0;10.0;15.0;20.0;45.0;1;147039221;24h / 24;OUI;416.0;4326.0;208.0;2163.0;208.0;2163.0;145.0;1514.0;10.0;0.45;0.9;15.75
75107-P-071;GOURAUD;5 avenue emile pouvillon, 75007, Paris;https://www.saemes.fr/fr/parking/parking-gouraud;abonnés;339;0;0;0;190;229.913.416;4.885.745.971;;;;;;7;145484330;POUR ABONNES;NON;;;;;;;;;;;;
75115-P-118;GENERAL BEURET;31 ter rue du general beuret, 75015, Paris;https://www.saemes.fr/fr/parking/parking-general-beuret;abonnés;170;1;0;0;185;23.023.162;4.884.025.777;;;;;;15;144829999;POUR ABONNES;NON;;;;;;;;;;;;
75116-P-082;MOZART;2 quater rue de la cure, 75016, Paris;https://www.saemes.fr/fr/parking/parking-mozart;abonnés;161;0;0;0;190;226.866.284;4.885.372.239;;;;;;16;144829999;POUR ABONNES;OUI;;;;;;;;1204.0;;;;
75116-P-162;JEAN BOUIN;17 rue nungesser et coli, 75016, Paris;https://www.saemes.fr/fr/parking/parking-jean-bouin;tous;485;13;0;52;190;225.210.919;4.884.430.241;4.0;8.0;12.0;16.0;36.0;16;146519018;24h / 24;OUI;159.0;1590.0;79.5;795.0;119.3;1193.0;55.7;557.0;11.3;0.35;0.7;12.6
75106-P-121;SAINTS PERES;47 ter rue jacob, 75006, Paris;https://fr.parkindigo.com/parking/paris-75006/saints-peres-75060300;abonnés;460;0;0;0;190;233.236.355;488.560.091;;;;;;6;145491855;POUR ABONNES;NON;;;;;;;;;;;;
75117-P-065;PRONY;37 ter rue de prony, 75017, Paris;https://www.saemes.fr/fr/parking/parking-prony;abonnés;172;0;0;0;190;230.582.921;4.888.158.487;;;;;;17;144829999;POUR ABONNES;NON;;;;;;;;;;;;
75109-P-018;MEYERBEER (OPERA);2 ter rue de la chaussee d antin, 75009, Paris;https://www.sags.fr/parking-paris/paris-meyerbeer-opera.html;tous;550;12;3;99;190;233.405.582;4.887.135.174;4.4;8.8;13.2;17.6;39.6;9;186221858;24h / 24;OUI;300.0;3000.0;0.0;0.0;210.0;2100.0;105.0;1050.0;10.0;0.4;0.75;12.65
75114-P-019;MONTPARNASSE RASPAIL;120 quater boulevard du montparnasse, 75014, Paris;https://fr.parkindigo.com/parking/paris-75014/montparnasse-raspail-75140300;tous;762;0;0;0;190;233.079.393;4.884.146.614;4.4;8.8;13.2;17.6;39.6;14;145484330;24h / 24;PREVU;230.0;2300.0;0.0;0.0;115.0;1150.0;80.0;800.0;10.0;0.35;0.7;13.5
75101-P-041;HARLAY (PONT NEUF);40 bis quai des orfevres, 75001, Paris;https://fr.parkindigo.com/parking/paris-75001/harlay-pont-neuf-75010300;tous;736;7;0;0;190;23.427.859;4.885.566.488;4.8;9.6;14.4;19.2;43.2;1;146339748;24h / 24;OUI;269.0;2797.0;;;134.0;1398.0;94.0;978.0;;;;
75106-P-055;SAINT GERMAIN DES PRES;169 ter boulevard saint germain, 75006, Paris;https://fr.parkindigo.com/parking/paris-75006/saint-germain-des-pres-75060800;tous;342;17;6;0;190;233.113.402;4.885.420.443;5.4;10.8;16.2;21.6;48.6;6;145491855;24h / 24;OUI;338.0;3515.0;;;;;144.0;1497.0;;;;
75109-P-045;MONTHOLON;3 m rue mayran, 75009, Paris;https://fr.parkindigo.com/parking/paris-75009/montholon-75091600;tous;423;9;3;8;190;234.595.065;4.887.687.366;4.4;8.8;13.2;17.6;39.6;9;142853757;24h / 24;OUI;253.0;2631.0;126.0;1315.0;126.0;1315.0;88.0;920.0;10.0;0.4;0.8;13.5
75108-P-125;CHAMPS ELYSEES PIERRE CHARRON;67 ter rue pierre charron, 75008, Paris;https://fr.parkindigo.com/parking/paris-75008/pierre-charron-champs-elysees-75081900;tous;398;8;9;0;195;230.459.026;4.887.021.579;5.4;10.8;16.2;21.6;48.6;8;140740960;24h / 24;OUI;304.0;3161.0;152.0;1580.0;152.0;1580.0;106.0;1106.0;10.0;0.5;0.95;16.65
75105-P-070;GAY LUSSAC;45 ter rue gay lussac, 75005, Paris;https://www.saemes.fr/fr/parking/parking-gay-lussac;abonnés;103;0;0;0;195;234.332.861;4.884.187.546;;;;;;5;144829999;POUR ABONNES;NON;;;;;;;;;;;;
75108-P-002;MALESHERBES ANJOU;20 ter boulevard malesherbes, 75008, Paris;https://www.sags.fr/parking-paris/paris-malesherbes-anjou.html;tous;859;12;18;110;190;232.170.183;4.887.250.966;5.0;10.0;15.0;20.0;45.0;8;142650611;24h / 24;NON;313.0;3130.0;156.5;1565.0;156.5;1565.0;109.0;1090.0;10.0;0.4;0.8;14.4
75110-P-126;RECOLLETS;3 ter passage des recollets, 75010, Paris;https://www.saemes.fr/fr/parking/parking-recollets;abonnés;100;0;0;0;200;235.911.877;4.887.418.354;;;;;;10;144829999;POUR ABONNES;OUI;185.0;1850.0;;;;;93.0;930.0;;;;
75112-P-127;LYON DIDEROT;196 rue de  bercy, 75012, Paris;https://www.effia.com/parking/parking-paris-gare-de-lyon-diderot-effia;tous;305;6;5;0;190;237.216.992;4.884.468.165;5.0;9.8;14.4;18.8;38.2;12;153176308;24h / 24;OUI;;;;;;;108.6;;;0.6;1.2;18.6
75112-P-017;PICPUS NATION;65 m boulevard de picpus, 75012, Paris;https://fr.parkindigo.com/parking/paris-75012/picpus-nation-75120100;tous;914;16;2;0;190;239.914.441;4.884.715.454;3.6;7.2;10.8;14.4;32.4;12;146286047;24h / 24;OUI;139.0;1445.0;69.0;722.0;69.0;722.0;48.0;505.0;10.0;0.35;0.65;11.25
75113-P-119;CHARLETY THOMIRE;2 rue thomire, 75013, Paris;https://www.saemes.fr/fr/parking/parking-charlety-thomire;abonnés;883;26;0;0;190;234.815.367;4.881.978.937;;;;;;13;144829999;POUR ABONNES;OUI;102.0;1020.0;46.0;;;;41.0;410.0;;;;
75108-P-020;GEORGE V;113 avenue des champs elysees, 75008, Paris;https://fr.parkindigo.com/parking/paris-75008/george-v-75082400;tous;1106;21;26;68;190;229.949.965;4.887.215.419;5.2;10.4;15.6;20.8;46.8;8;147200268;24h / 24;OUI;270.0;2808.0;135.0;1404.0;135.0;1404.0;94.0;982.0;10.0;0.45;0.9;16.2
75112-P-129;BERCY SEINE VEHICULES LEGERS;180 quai de bercy, 75012, Paris;https://www.saemes.fr/fr/parking/parking-bercy-seine;tous;300;14;2;10;190;238.083.038;4.883.505.677;4.1;8.2;12.3;16.4;36.9;12;143074858;24h / 24;OUI;176.0;1760.0;;;88.0;880.0;70.4;704.0;18.0;0.35;0.7;12.6
75114-P-117;MAINE BASCH ALESIA;204 ter avenue du maine, 75014, Paris;https://fr.parkindigo.com/parking/paris-75014/alesia-75140400;tous;482;10;2;5;185;232.571.957;4.883.027.508;4.6;9.2;13.8;18.4;41.4;14;143205699;24h / 24;OUI;212.0;2204.0;106.0;1102.0;106.0;1102.0;74.0;771.0;10.0;0.4;0.8;14.4
75117-P-079;PEREIRE;211 m boulevard pereire, 75017, Paris;https://www.saemes.fr/fr/parking/parking-pereire;abonnés;277;0;0;0;200;229.020.357;4.888.102.649;;;;;;17;144829999;POUR ABONNES;NON;205.0;2050.0;;;;;;1262.0;;;;
75115-P-157;FREMICOURT;13 ter rue fremicourt, 75015, Paris;https://fr.parkindigo.com/parking/paris-75015/fremicourt-75150700;abonnés;204;5;2;21;190;229.739.674;4.884.734.233;;;;;;15;145484330;POUR ABONNES;OUI;238.0;2475.0;119.0;1237.0;119.0;1237.0;83.0;866.0;10.0;;;
75105-P-050;SOUFFLOT;18 m rue soufflot, 75005, Paris;https://fr.parkindigo.com/parking/paris-75005/soufflot-pantheon-75050100;tous;689;13;6;8;190;234.241.862;4.884.708.752;4.8;9.6;14.4;19.2;43.2;5;143261554;24h / 24;OUI;261.0;2714.0;130.0;1357.0;130.0;1357.0;91.0;949.0;10.0;0.45;0.85;14.85
75110-P-131;EURONORD LARIBOISIERE;10 ter rue ambroise pare, 75010, Paris;https://fr.parkindigo.com/parking/paris-75010/euronord-lariboisiere-75100400;tous;482;10;0;6;190;235.217.631;4.888.204.018;5.0;10.0;15.0;20.0;45.0;10;141720265;24h / 24;OUI;229.0;2381.0;114.0;1190.0;114.0;1190.0;80.0;833.0;10.0;0.45;0.9;15.75
75116-P-138;VERSAILLES REYNAUD;178 ter avenue de versailles, 75016, Paris;https://fr.parkindigo.com/parking/paris-75016/versailles-reynaud-75160900;tous;263;1;0;0;190;226.260.484;4.883.966.022;5.2;10.4;15.6;20.8;46.8;16;145484330;24h / 24;OUI;228.0;2371.0;;;;;96.0;998.0;;;;
75107-P-063;SUFFREN;8 ter place joffre, 75007, Paris;https://fr.parkindigo.com;abonnés;162;0;0;0;190;230.187.526;4.885.199.765;;;;;;7;145484330;POUR ABONNES;NON;;;;;;;;;;;;
75105-P-076;PATRIARCHES;42 ter rue daubenton, 75005, Paris;https://fr.parkindigo.com/parking/paris-75005/patriarches-75050300;tous;344;7;3;10;190;23.508.884;4.884.034.371;4.8;9.6;14.4;19.2;43.2;5;143374353;24h / 24;OUI;306.0;3182.0;153.0;1591.0;153.0;1591.0;107.0;1113.0;10.0;0.45;0.85;14.85
75116-P-012;FOCH;4 ter avenue foch, 75016, Paris;https://fr.parkindigo.com/parking/paris-75016/foch-75161300;tous;2024;14;0;5;190;229.199.298;4.887.364.988;5.0;10.0;15.0;20.0;47.5;16;141720260;24h / 24;OUI;328.0;3411.0;164.0;1705.0;164.0;1705.0;114.0;1193.0;10.0;0.8;1.2;16.55
75109-P-113;MILTON;31 ter rue milton, 75009, Paris;https://www.saemes.fr/fr/parking/parking-milton;abonnés;99;0;0;0;190;234.197.019;4.887.905.983;;;;;;9;144829999;POUR ABONNES;NON;;;;;;;;;;;;
75117-P-072;MAIRIE DU 17 EME;20 rue des batignolles, 75017, Paris;https://www.saemes.fr/fr/parking/parking-mairie-du-17eme;tous;323;7;2;55;180;232.145.852;4.888.469.716;4.3;8.6;12.9;17.2;38.7;17;153043010;24h / 24;OUI;240.0;2400.0;;;;;96.0;960.0;18.0;0.4;0.8;13.5
75115-P-049;PORTE DE VERSAILLES;40 ter boulevard victor, 75015, Paris;https://www.sags.fr/parking-paris/paris-porte-de-versailles.html;tous;474;10;4;10;190;228.540.134;4.883.364.524;4.7;9.4;14.1;18.8;51.7;15;153684609;24h / 24;OUI;243.0;2430.0;121.5;1215.0;116.2;1162.0;85.05;850.5;10.0;0.4;0.8;17.6
75108-P-107;CHAMPS ELYSEES;64 avenue des champs elysees, 75008, Paris;https://fr.parkindigo.com/parking/paris-75008/champs-elysees-75080600;tous;826;11;10;0;190;2.305.418;48.870.672;5.2;10.4;15.6;20.8;46.8;8;145614079;24h / 24;OUI;281.0;2922.0;;;140.0;1461.0;98.0;1022.0;;;;
75117-P-004;VILLIERS;14 ter avenue de villiers, 75017, Paris;https://fr.parkindigo.com/parking/paris-75017/villiers-75171800;tous;388;4;2;10;190;231.430.614;4.888.185.618;5.0;10.0;15.0;20.0;45.0;17;141720271;24h / 24;OUI;343.0;3567.0;171.0;1783.0;171.0;1783.0;120.0;1248.0;10.0;0.45;0.9;15.75
75114-P-033;MAIRIE DU 14 EME;1 ter rue charles divry, 75014, Paris;https://www.saemes.fr/fr/parking/parking-mairie-du-14eme;abonnés;161;0;2;0;190;232.738.266;4.883.305.564;;;;;;14;144829999;POUR ABONNES;NON;263.0;2630.0;131.5;1315.0;131.5;1315.0;;;;;;
75118-P-105;CARPEAUX;5 ter rue carpeaux, 75018, Paris;https://www.saemes.fr/fr/parking/parking-carpeaux;abonnés;97;1;0;0;190;232.973.617;4.889.029.795;;;;;;18;144829999;POUR ABONNES;NON;;;;;;;76.0;760.0;;;;
75107-P-075;CHAMPAGNY;15 m rue casimir perier, 75007, Paris;https://www.saemes.fr/fr/parking/parking-champagny;abonnés;111;0;0;0;190;23.193.649;4.885.807.027;;;;;;7;144829999;POUR ABONNES;NON;;;;;;;;;;;;
75107-P-042;BAC MONTALEMBERT;39 rue du bac, 75007, Paris;https://www.saemes.fr/fr/parking/parking-bac-montalembert;tous;417;9;3;0;190;232.697.691;4.885.659.157;4.6;9.2;13.8;18.4;41.4;7;142221566;24h / 24;OUI;380.0;3800.0;0.0;0.0;190.0;1900.0;133.0;1330.0;10.0;0.4;0.8;14.4
75102-P-048;BOURSE;12 quater place de la bourse, 75002, Paris;https://www.sags.fr/parking-paris/paris-bourse.html;tous;899;3;3;0;190;234.077.428;4.886.963.785;4.8;9.6;14.4;19.2;43.2;2;186222327;24h / 24;PREVU;380.0;3800.0;0.0;0.0;266.0;2660.0;133.0;1330.0;10.0;0.4;0.8;14.4
75116-P-053;PLACE VICTOR HUGO;76 ter avenue victor hugo, 75016, Paris;https://fr.parkindigo.com/parking/paris-75016/place-victor-hugo-75160400;tous;530;6;6;5;190;228.454.072;4.886.938.969;5.0;10.0;15.0;20.0;45.0;16;141720260;24h / 24;OUI;348.0;3619.0;174.0;1809.0;174.0;1809.0;121.0;1266.0;10.0;0.45;0.9;15.75
75106-P-086;MARCHE SAINT GERMAIN;2 ter rue lobineau, 75006, Paris;https://www.saemes.fr/fr/parking/parking-marche-saint-germain;abonnés;113;0;0;0;190;23.366.929;4.885.179.163;;;;;;6;144829999;POUR ABONNES;NON;;;;;;;;;;;;
75113-P-150;BORDS DE SEINE FREYSSINET (RIVE GAUCHE);25 ter rue abel gance, 75013, Paris;https://fr.parkindigo.com/parking/paris-75013/bords-de-seine-freyssinet-75131000;tous;390;10;3;16;190;23.730.091;4.883.515.677;4.2;8.4;12.6;16.8;37.8;13;144066050;24h / 24;OUI;248.0;2579.0;124.0;1289.0;124.0;1289.0;86.0;902.0;10.0;0.4;0.75;13.05
75118-P-068;FIRMIN GEMIER;5 ter rue firmin gemier, 75018, Paris;https://www.sags.fr/parking-paris/paris-firmin-gemier.html;abonnés;127;0;0;0;195;23.301.107;4.889.477.662;;;;;;18;?;POUR ABONNES;NON;200.0;2000.0;0.0;0.0;130.0;1300.0;70.0;700.0;10.0;;;
75113-P-152;CITE DE LA MODE AUSTERLITZ (RIVE GAUCHE);29 ter quai d austerlitz, 75013, Paris;https://fr.parkindigo.com/parking/paris-75013/cite-de-la-mode-austerlitz-75130900;tous;345;7;4;16;190;237.111.402;4.883.941.726;4.2;8.4;12.6;16.8;37.8;13;144066050;24h / 24;OUI;248.0;2579.0;124.0;1289.0;124.0;1289.0;86.0;902.0;10.0;0.4;0.75;13.05
75106-P-160;SAINT GERMAIN (GARAGE);169 ter boulevard saint germain, 75006, Paris;https://fr.parkindigo.com/parking/paris-75000/garage-saint-germain-des-pres-75061300;abonnés;282;0;0;0;190;233.113.826;4.885.421.111;;;;;;6;145491855;POUR ABONNES;OUI;343.0;3567.0;171.0;1783.0;171.0;1783.0;;;10.0;;;
75117-P-154;CARDINET;149 ter rue cardinet, 75017, Paris;https://www.sags.fr/parking-paris/-cardinet.html;abonnés;599;12;9;24;195;231.692.093;4.889.006.559;;;;;;17;186220768;POUR ABONNES;OUI;250.0;2500.0;0.0;0.0;175.0;1750.0;87.5;875.0;10.0;;;
75116-P-043;PORTE DE SAINT CLOUD;10 avenue de la porte de saint cloud, 75016, Paris;https://fr.parkindigo.com/parking/paris-75016/porte-de-saint-cloud-75161400;tous;1119;28;3;21;190;225.373.418;488.387.931;4.4;8.8;13.2;17.6;39.6;16;146512868;24h / 24;OUI;190.0;1976.0;95.0;988.0;95.0;988.0;66.0;686.0;10.0;0.4;0.8;13.5
75103-P-044;SAINT MARTIN;245 ter rue saint martin, 75003, Paris;https://fr.parkindigo.com/parking/paris-75003/saint-martin-75030100;tous;545;4;0;0;190;235.360.268;4.886.588.384;5.2;10.4;15.6;20.8;46.8;3;141720265;24h / 24;OUI, MAIS TRAVAUX D'ACCESSIBILITE AUX HANDICAPES A;327.0;3400.0;;;;;134.0;1393.0;;;;
75117-P-001;AMPERE;93 ter rue ampere, 75017, Paris;https://fr.parkindigo.com;abonnés;204;0;0;0;190;229.855.692;4.888.530.074;;;;;;17;141720271;POUR ABONNES;NON;325.0;3250.0;;;;;;;;;;
75113-P-120;CHARLETY COUBERTIN;27 ter avenue pierre de coubertin, 75013, Paris;https://www.saemes.fr/fr/parking/parking-charlety-coubertin;tous;407;5;2;22;185;234.427.348;4.881.733.316;4.1;8.2;12.3;16.4;36.9;13;145652561;24h / 24;OUI;129.0;1380.0;;;64.5;690.0;52.0;552.0;18.0;0.35;0.7;12.6
75104-P-025;LOBAU;2 quater rue de lobau, 75004, Paris;https://www.sags.fr/parking-paris/paris-lobau.html;tous;788;18;235;119;190;235.340.985;4.885.610.166;4.6;9.2;13.8;18.4;41.4;4;142778853;24h / 24;OUI;275.0;2750.0;137.5;1375.0;179.0;1790.0;96.25;962.5;10.0;0.4;0.8;14.4
75114-P-051;PORTE D ORLEANS;8 avenue de la porte d orleans, 75014, Paris;https://www.saemes.fr/fr/parking/parking-porte-dorleans;tous;665;13;2;27;185;232.584.893;488.205.466;4.0;8.0;12.0;16.0;36.0;14;140520920;24h / 24;OUI;155.0;1550.0;0.0;0.0;77.5;775.0;54.0;542.0;10.0;0.35;0.7;12.6
75108-P-061;ROND POINT DES CHAMPS ELYSEES;2 m rond point des champs elysees marcel dassault, 75008, Paris;https://fr.parkindigo.com/parking/paris-75008/rond-point-des-champs-elysees-75080400;tous;561;12;0;10;190;231.102.051;4.886.932.976;5.4;10.8;16.2;21.6;48.6;8;142250483;24h / 24;OUI;281.0;2922.0;140.0;1461.0;140.0;1461.0;98.0;1022.0;10.0;0.5;0.95;16.65
75107-P-155;SEVRES BABYLONE;1 bis rue de babylone, 75007, Paris;https://fr.parkindigo.com/parking/paris-75007/sevres-babylone-75071100;tous;866;18;7;40;190;232.495.873;488.515.934;4.8;9.6;14.4;19.2;43.2;7;145484330;24h / 24;OUI;311.0;3234.0;155.0;1617.0;155.0;1617.0;108.0;1131.0;10.0;0.45;0.85;14.85
